label,class,PCA1,PCA2,TSNE1,TSNE2
1,Late Blight,-8.492752,-1.1194881,-10.666782,5.338176
1,Late Blight,-5.5915875,-2.3099551,-1.5668656,1.088654
1,Late Blight,-13.925075,6.5384264,-20.432278,14.012198
0,Early Blight,8.165026,-3.6377382,13.228835,-8.789515
1,Late Blight,-6.667281,-4.031242,-4.2344704,1.2886035
1,Late Blight,-9.485009,-3.1623414,-8.195659,4.5171614
1,Late Blight,-14.554437,16.97424,-23.989761,12.380837
0,Early Blight,23.245995,4.08566,26.1778,-7.396306
0,Early Blight,7.283991,1.2082168,15.696113,-4.9445443
1,Late Blight,-8.4011545,-5.8679,-6.058408,0.8310953
1,Late Blight,-12.069058,3.5869772,-16.347881,12.893731
0,Early Blight,15.83625,0.8626133,21.271053,-7.6285515
1,Late Blight,-9.153997,-1.3833745,-10.160847,5.5326777
0,Early Blight,23.168642,4.4634852,26.196768,-8.026306
1,Late Blight,-9.426474,-3.1899028,-7.8381157,4.558924
1,Late Blight,-13.262003,9.567474,-22.111979,13.049896
1,Late Blight,-10.910303,-0.7953398,-9.933393,8.192485
1,Late Blight,-11.766951,0.78272176,-11.839458,11.33032
0,Early Blight,3.3086863,-5.371775,5.0903296,-5.520005
1,Late Blight,-10.875563,3.841425,-17.05325,11.327461
0,Early Blight,9.576446,-1.782898,15.984043,-7.578566
0,Early Blight,8.725373,-3.1035514,14.095354,-8.201768
1,Late Blight,-11.433196,0.46841016,-11.446286,10.56247
1,Late Blight,1.6384557,-2.3191073,3.8599062,-1.6342396
0,Early Blight,23.852291,5.3006296,26.694506,-7.2421727
0,Early Blight,4.6363115,-5.160862,7.0174346,-6.475068
1,Late Blight,-6.7908454,-5.092252,-4.590934,0.78940696
1,Late Blight,-11.708266,4.3943715,-17.677954,12.491977
1,Late Blight,-10.944407,2.688118,-15.112314,11.437915
1,Late Blight,-11.486357,0.5146335,-11.05914,11.227183
0,Early Blight,5.4848857,-4.6475964,8.76367,-6.7661166
1,Late Blight,-11.689912,0.9578091,-12.216399,11.184002
0,Early Blight,2.040216,-6.082101,3.387396,-5.0656333
0,Early Blight,-1.3445232,-7.342171,-0.35684243,-3.8430178
1,Late Blight,-12.7218275,2.7753944,-15.052291,13.451498
0,Early Blight,4.8231673,-5.1151705,7.224311,-6.7665486
0,Early Blight,14.78917,5.6138463,21.57807,-6.206015
0,Early Blight,5.8768134,-4.6897593,9.501609,-7.8062015
0,Early Blight,-6.47771,-8.126009,-5.272916,-1.7381421
0,Early Blight,8.231231,-3.4883769,13.363049,-7.7345047
0,Early Blight,16.00209,0.100335844,21.001696,-8.098492
0,Early Blight,3.29224,-3.9619043,5.975797,-4.3819914
1,Late Blight,-6.1902566,0.220923,-14.770208,5.6588645
0,Early Blight,22.1892,4.0262423,25.729483,-7.6548953
0,Early Blight,-5.575096,-9.688193,-4.887315,-2.5773432
0,Early Blight,6.154836,-4.6001306,9.977024,-8.020116
1,Late Blight,-12.2616005,3.2084968,-15.762889,12.942219
1,Late Blight,-9.653755,4.382085,-17.526932,9.545947
0,Early Blight,25.73782,5.998771,27.555477,-8.929988
1,Late Blight,-11.376455,3.9186783,-16.910355,12.054424
1,Late Blight,-10.447396,-1.7053779,-9.011677,6.7387204
0,Early Blight,-7.0514636,-7.9443603,-5.810555,-1.182952
1,Late Blight,-12.219969,4.288595,-17.527033,13.266381
0,Early Blight,4.034808,-3.3451374,7.2675114,-4.4191628
1,Late Blight,-11.691775,2.5497031,-14.820014,12.261655
1,Late Blight,-8.335194,-5.310446,-5.997597,1.3748285
0,Early Blight,-3.7355015,-8.202668,-2.6915758,-2.8264625
0,Early Blight,6.116249,-4.3321204,10.179109,-6.886889
1,Late Blight,-8.0363455,-6.69053,-6.2779922,-0.1521447
0,Early Blight,7.599956,1.744807,16.102549,-5.0570297
1,Late Blight,-9.812321,-2.5308094,-8.628595,5.352787
0,Early Blight,1.1465163,-0.6029942,3.7918217,-0.743174
0,Early Blight,3.4736836,-5.35034,5.4828587,-5.4088335
1,Late Blight,-13.523127,5.697372,-19.58785,14.097803
1,Late Blight,-8.434217,3.3608937,-16.983091,7.9452124
